bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,2264,2266,983,https://sourceforge.net/p/jfreechart/bugs/983
3,2225,2227,UNKNOWN,UNKNOWN
4,2182,2183,UNKNOWN,UNKNOWN
5,1695,1696,862,https://sourceforge.net/p/jfreechart/bugs/862
6,1164,1166,UNKNOWN,UNKNOWN
7,1086,1087,UNKNOWN,UNKNOWN
8,1084,1085,UNKNOWN,UNKNOWN
9,1082,1083,818,https://sourceforge.net/p/jfreechart/bugs/818
10,1064,1065,UNKNOWN,UNKNOWN
11,1024,1025,868,https://sourceforge.net/p/jfreechart/bugs/868
12,846,852,213,https://sourceforge.net/p/jfreechart/patches/213
13,817,822,UNKNOWN,UNKNOWN
17,621,622,803,https://sourceforge.net/p/jfreechart/bugs/803
20,281,283,UNKNOWN,UNKNOWN
24,188,190,UNKNOWN,UNKNOWN
26,102,103,UNKNOWN,UNKNOWN
