bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
4,8ca630b76ebcfe24915a9edb3a6de756cab761c9,f78959477b207bf710049aa35730ef7659f0a1b9,cli-1,https://issues.apache.org/jira/browse/CLI-1
5,2b0a94aee899d9e7d855c402ad40eb4e318f46e7,3880640ee6268a2ecb2912e1ae896153dc2229e5,CLI-133,https://issues.apache.org/jira/browse/CLI-133
8,6a6bb48840aa0043200a5d9f6fffea47aea1a8db,4f407378c93b9e2a8e24c855e8bed5eb12bf7a06,CLI-151,https://issues.apache.org/jira/browse/CLI-151
9,298804b71d4e5f8b621f48a300f421229a3f5c86,fea35870b69c0d37ab36ab6783edbc7aacc0842c,CLI-149,https://issues.apache.org/jira/browse/CLI-149
11,33abc034037e3ef5d85d1b03010122617c386827,d36adebd3547279b709960c902c3fb7b89a9a4ef,cli-1,https://issues.apache.org/jira/browse/CLI-1
12,b8f825936796e2f5b6663de021aefa53fa728f67,aa050a69b2395f496f953f4f9c4f63a475dcf430,cli-1,https://issues.apache.org/jira/browse/CLI-1
14,b7b2069f9d846c6aea5fee98508ec1491fdf1123,c338c8aca40d43efda580057f6d41ba228e26ec1,CLI-144,https://issues.apache.org/jira/browse/CLI-144
15,c338c8aca40d43efda580057f6d41ba228e26ec1,a93139165b160af1c908c85a06b0af6b3dda3387,CLI-158,https://issues.apache.org/jira/browse/CLI-158
17,cfbb46adb163d9b8af00e9a29e6b42d597f8804f,9c5ce3501938cff01d78b7a1fff10a60abe9e0cf,CLI-163,https://issues.apache.org/jira/browse/CLI-163
19,c8606251c904dfaf5303f71b788e12f7fff15fab,b1331806960001da95424315b6103d755107b519,CLI-164,https://issues.apache.org/jira/browse/CLI-164
20,b1331806960001da95424315b6103d755107b519,99aa05af2bfef3980ad8f94230cd077e8d30c5ea,CLI-165,https://issues.apache.org/jira/browse/CLI-165
23,88cf9e4ab6e1b127de46fb2540f4d1fffac56442,2ddaae14dd23643a4b5f71f8274534b0b34556a4,CLI-162,https://issues.apache.org/jira/browse/CLI-162
24,ac6e754ecfc86822aa1ab74d657b0b3f0222b2e6,02dd7c20646bf67dcfb6f7da6beeb7cdffc6ac22,CLI-162,https://issues.apache.org/jira/browse/CLI-162
25,02dd7c20646bf67dcfb6f7da6beeb7cdffc6ac22,6a585453d385449dc23d90479488f92f02cd6b83,CLI-162,https://issues.apache.org/jira/browse/CLI-162
26,879c762baac4a9d7aade43d302e730e239a54c21,aa2434d301c49d100f50af544333886a6767ce9d,CLI-177,https://issues.apache.org/jira/browse/CLI-177
27,6a999186695d404ccb6c1528df68fe2eb42863c2,4c971f08861e8cefb8ca9ac20799bfdad4e973a4,CLI-182,https://issues.apache.org/jira/browse/CLI-182
28,10b14afb9ff42a3f216296f526f65d001b545e3f,3433f467554985a6bd9bf530a4810376be6fe250,CLI-201,https://issues.apache.org/jira/browse/CLI-201
29,a2cf820dd69e55050a8db004c305a6133c3feb2e,20002f7f4e971349a1c95dd3b05846c5b824b65c,CLI-185,https://issues.apache.org/jira/browse/CLI-185
32,23df383408513eddaf3e6dc4244c89fd48427695,777cb81088d47472df21a452edd5ba568d4b3fdf,CLI-193,https://issues.apache.org/jira/browse/CLI-193
35,a154084dbf5af77f6f3a64a7561fd77aadb78429,085a1538fa20d8e48faad49eaffd697f024bf1af,CLI-252,https://issues.apache.org/jira/browse/CLI-252
37,9e51962309fac2806f5fe0e4e3df94e0e187607a,1bf9e6c551b6a2e7d37291673a1ff77c338ce131,CLI-265,https://issues.apache.org/jira/browse/CLI-265
38,5764b6270287a74d31cb83f70ab38bdd916e619e,ac2a1c85616f0140418de9190389fe7b80296c39,CLI-265,https://issues.apache.org/jira/browse/CLI-265
40,e400f9256a2af526e9a06b9d5d2965965109a8db,b0024d482050a08efc36c3cabee37c0af0e57a10,CLI-282,https://issues.apache.org/jira/browse/CLI-282
