bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
2,2f7454a01e4c2992bffc3d86137e632e80c5027f,b8c2d9d9dc9aab45f83cf49ac93cfa8546e4c08e,CODEC-77,https://issues.apache.org/jira/browse/CODEC-77
3,d7b01850ef418b1d261cdb2029f8f85ab4031553,a5dfe5cbc95d7f3ce0b4829756690c2cb8439f4c,CODEC-84,https://issues.apache.org/jira/browse/CODEC-84
4,38ba13232cb37374e3c333e2121ebad8a793935c,bcfef8906931a7929a6db14b9d82d387fd3f17f6,CODEC-89,https://issues.apache.org/jira/browse/CODEC-89
5,4c6eea410d34d7ff4aa5c30fb7a2fa7c349dae18,800f0531068ebaf2f2d257bb1bd805781ddd4760,CODEC-98,https://issues.apache.org/jira/browse/CODEC-98
6,5a0d6b1d2b38a8026b1e160b0de9d9d56b07665c,d74fc31604c805a47c44d7853f63a3b06ad6c016,CODEC-101,https://issues.apache.org/jira/browse/CODEC-101
7,f7966c1b374ebdd3fccb28370d9cb80a2115d807,954d995c5603b616c3c4a9ffb1823f36dd7ebcb0,CODEC-99,https://issues.apache.org/jira/browse/CODEC-99
9,b396c535ff143cf94ea0d11f50739da1709ec290,c5291ab1ca4d4d7a041874a66b1c05b7d5c02ccb,CODEC-112,https://issues.apache.org/jira/browse/CODEC-112
10,2a8fd84f1f380fc472ecf415b771cb5fd789719b,41c68e9ef470696009d72133c7f05a20e2728e34,CODEC-117,https://issues.apache.org/jira/browse/CODEC-117
15,8fc193527df27beeeb638e6e812e8c4df6c72f46,28b7b958d39730fc278fd1919bf335c52133a1a2,CODEC-199,https://issues.apache.org/jira/browse/CODEC-199
17,1a4d9cc2572d220664f1b7c377cd318cd253052e,d2f27093d7d95a07da901902f894d88b4ecc3e95,CODEC-229,https://issues.apache.org/jira/browse/CODEC-229
18,ca30fae3acb59a5caef3c3c21eecae7c928827e0,5ef5bd199a4e3df74479b4b363fa29b0b3092547,CODEC-231,https://issues.apache.org/jira/browse/CODEC-231
